Date,Sales
2023-06-17,115
2023-06-18,190
2023-06-19,148
2023-06-20,186
2023-06-21,138
2023-06-22,159
2023-06-23,135
2023-06-24,168
2023-06-25,148
2023-06-26,215
2023-06-27,202
2023-06-28,145
2023-06-29,197
2023-06-30,197
2023-07-01,190
2023-07-02,164
2023-07-03,191
2023-07-04,226
2023-07-05,144
2023-07-06,167
2023-07-07,215
2023-07-08,161
2023-07-09,167
2023-07-10,169
2023-07-11,217
2023-07-12,236
2023-07-13,212
2023-07-14,216
2023-07-15,154
2023-07-16,173
2023-07-17,260
2023-07-18,187
2023-07-19,218
2023-07-20,258
2023-07-21,215
2023-07-22,236
2023-07-23,292
2023-07-24,218
2023-07-25,233
2023-07-26,231
2023-07-27,279
2023-07-28,280
2023-07-29,218
2023-07-30,272
2023-07-31,197
2023-08-01,208
2023-08-02,227
2023-08-03,209
2023-08-04,272
2023-08-05,243
2023-08-06,228
2023-08-07,242
2023-08-08,273
2023-08-09,245
2023-08-10,243
2023-08-11,242
2023-08-12,206
2023-08-13,272
2023-08-14,207
2023-08-15,225
2023-08-16,276
2023-08-17,282
2023-08-18,259
2023-08-19,270
2023-08-20,257
2023-08-21,191
2023-08-22,262
2023-08-23,250
2023-08-24,239
2023-08-25,207
2023-08-26,305
2023-08-27,204
2023-08-28,233
2023-08-29,213
2023-08-30,222
2023-08-31,289
2023-09-01,245
2023-09-02,202
2023-09-03,207
2023-09-04,271
2023-09-05,265
2023-09-06,233
2023-09-07,257
2023-09-08,224
2023-09-09,234
2023-09-10,266
2023-09-11,246
2023-09-12,257
2023-09-13,240
2023-09-14,200
2023-09-15,245
2023-09-16,214
2023-09-17,207
2023-09-18,238
2023-09-19,253
2023-09-20,244
2023-09-21,255
2023-09-22,209
2023-09-23,213
2023-09-24,228
2023-09-25,265
2023-09-26,271
2023-09-27,174
2023-09-28,240
2023-09-29,253
2023-09-30,262
2023-10-01,245
2023-10-02,247
2023-10-03,210
2023-10-04,208
2023-10-05,103
2023-10-06,223
2023-10-07,211
2023-10-08,227
2023-10-09,177
2023-10-10,197
2023-10-11,193
2023-10-12,230
2023-10-13,243
2023-10-14,185
2023-10-15,231
2023-10-16,219
2023-10-17,207
2023-10-18,216
2023-10-19,150
2023-10-20,150
2023-10-21,200
2023-10-22,157
2023-10-23,196
2023-10-24,205
2023-10-25,211
2023-10-26,166
2023-10-27,194
2023-10-28,116
2023-10-29,219
2023-10-30,148
2023-10-31,169
2023-11-01,169
2023-11-02,190
2023-11-03,159
2023-11-04,177
2023-11-05,154
2023-11-06,179
2023-11-07,197
2023-11-08,168
2023-11-09,173
2023-11-10,164
2023-11-11,94
2023-11-12,150
2023-11-13,146
2023-11-14,139
2023-11-15,123
2023-11-16,164
2023-11-17,155
2023-11-18,147
2023-11-19,161
2023-11-20,158
2023-11-21,157
2023-11-22,167
2023-11-23,164
2023-11-24,166
2023-11-25,160
2023-11-26,177
2023-11-27,196
2023-11-28,135
2023-11-29,154
2023-11-30,163
2023-12-01,174
2023-12-02,91
2023-12-03,115
2023-12-04,198
2023-12-05,208
2023-12-06,142
2023-12-07,138
2023-12-08,95
2023-12-09,102
2023-12-10,152
2023-12-11,154
2023-12-12,126
2023-12-13,180
2023-12-14,191
2023-12-15,156
2023-12-16,150
2023-12-17,136
2023-12-18,193
2023-12-19,193
2023-12-20,208
2023-12-21,200
2023-12-22,166
2023-12-23,176
2023-12-24,191
2023-12-25,158
2023-12-26,175
2023-12-27,154
2023-12-28,189
2023-12-29,185
2023-12-30,183
2023-12-31,127
2024-01-01,203
2024-01-02,171
2024-01-03,216
2024-01-04,192
2024-01-05,169
2024-01-06,170
2024-01-07,234
2024-01-08,224
2024-01-09,205
2024-01-10,211
2024-01-11,196
2024-01-12,248
2024-01-13,201
2024-01-14,208
2024-01-15,193
2024-01-16,227
2024-01-17,215
2024-01-18,187
2024-01-19,200
2024-01-20,223
2024-01-21,126
2024-01-22,182
2024-01-23,185
2024-01-24,242
2024-01-25,173
2024-01-26,218
2024-01-27,249
2024-01-28,268
2024-01-29,248
2024-01-30,207
2024-01-31,316
2024-02-01,222
2024-02-02,224
2024-02-03,247
2024-02-04,158
2024-02-05,234
2024-02-06,266
2024-02-07,275
2024-02-08,222
2024-02-09,239
2024-02-10,214
2024-02-11,209
2024-02-12,236
2024-02-13,227
2024-02-14,227
2024-02-15,248
2024-02-16,221
2024-02-17,270
2024-02-18,267
2024-02-19,273
2024-02-20,282
2024-02-21,262
2024-02-22,275
2024-02-23,225
2024-02-24,228
2024-02-25,255
2024-02-26,236
2024-02-27,253
2024-02-28,292
2024-02-29,210
2024-03-01,247
2024-03-02,215
2024-03-03,245
2024-03-04,272
2024-03-05,219
2024-03-06,260
2024-03-07,204
2024-03-08,266
2024-03-09,237
2024-03-10,267
2024-03-11,321
2024-03-12,222
2024-03-13,259
2024-03-14,229
2024-03-15,187
2024-03-16,257
2024-03-17,266
2024-03-18,231
2024-03-19,248
2024-03-20,254
2024-03-21,184
2024-03-22,212
2024-03-23,216
2024-03-24,211
2024-03-25,259
2024-03-26,235
2024-03-27,217
2024-03-28,232
2024-03-29,198
2024-03-30,260
2024-03-31,274
2024-04-01,195
2024-04-02,217
2024-04-03,207
2024-04-04,199
2024-04-05,235
2024-04-06,222
2024-04-07,212
2024-04-08,206
2024-04-09,216
2024-04-10,155
2024-04-11,159
2024-04-12,201
2024-04-13,186
2024-04-14,228
2024-04-15,164
2024-04-16,215
2024-04-17,224
2024-04-18,216
2024-04-19,200
2024-04-20,135
2024-04-21,227
2024-04-22,174
2024-04-23,188
2024-04-24,205
2024-04-25,108
2024-04-26,182
2024-04-27,201
2024-04-28,205
2024-04-29,194
2024-04-30,137
2024-05-01,186
2024-05-02,169
2024-05-03,196
2024-05-04,199
2024-05-05,187
2024-05-06,194
2024-05-07,178
2024-05-08,150
2024-05-09,181
2024-05-10,150
2024-05-11,132
2024-05-12,177
2024-05-13,207
2024-05-14,136
2024-05-15,150
2024-05-16,117
2024-05-17,173
2024-05-18,163
2024-05-19,140
2024-05-20,140
2024-05-21,141
2024-05-22,125
2024-05-23,185
2024-05-24,144
2024-05-25,142
2024-05-26,168
2024-05-27,161
2024-05-28,189
2024-05-29,144
2024-05-30,108
2024-05-31,151
2024-06-01,165
2024-06-02,147
2024-06-03,175
2024-06-04,214
2024-06-05,92
2024-06-06,150
2024-06-07,134
2024-06-08,179
2024-06-09,143
2024-06-10,122
2024-06-11,118
2024-06-12,156
2024-06-13,144
2024-06-14,138
2024-06-15,198
2024-06-16,141
2024-06-17,173
2024-06-18,182
2024-06-19,180
2024-06-20,201
2024-06-21,136
2024-06-22,152
2024-06-23,152
2024-06-24,146
2024-06-25,180
2024-06-26,167
2024-06-27,140
2024-06-28,151
2024-06-29,202
2024-06-30,148
2024-07-01,150
2024-07-02,175
2024-07-03,154
2024-07-04,212
2024-07-05,172
2024-07-06,187
2024-07-07,211
2024-07-08,214
2024-07-09,191
2024-07-10,199
2024-07-11,195
2024-07-12,178
2024-07-13,137
2024-07-14,160
2024-07-15,223
2024-07-16,221
2024-07-17,205
2024-07-18,195
2024-07-19,226
2024-07-20,200
2024-07-21,170
2024-07-22,186
2024-07-23,223
2024-07-24,202
2024-07-25,187
2024-07-26,271
2024-07-27,223
2024-07-28,181
2024-07-29,147
2024-07-30,224
2024-07-31,209
2024-08-01,205
2024-08-02,210
2024-08-03,234
2024-08-04,230
2024-08-05,239
2024-08-06,204
2024-08-07,244
2024-08-08,241
2024-08-09,198
2024-08-10,274
2024-08-11,270
2024-08-12,168
2024-08-13,263
2024-08-14,279
2024-08-15,205
2024-08-16,246
2024-08-17,305
2024-08-18,189
2024-08-19,237
2024-08-20,266
2024-08-21,192
2024-08-22,200
2024-08-23,202
2024-08-24,201
2024-08-25,219
2024-08-26,222
2024-08-27,266
2024-08-28,259
2024-08-29,269
2024-08-30,241
2024-08-31,210
2024-09-01,219
2024-09-02,243
2024-09-03,280
2024-09-04,265
2024-09-05,243
2024-09-06,236
2024-09-07,194
2024-09-08,255
2024-09-09,179
2024-09-10,228
2024-09-11,259
2024-09-12,279
2024-09-13,251
2024-09-14,277
2024-09-15,256
2024-09-16,233
2024-09-17,258
2024-09-18,271
2024-09-19,248
2024-09-20,198
2024-09-21,243
2024-09-22,174
2024-09-23,209
2024-09-24,236
2024-09-25,201
2024-09-26,180
2024-09-27,263
2024-09-28,233
2024-09-29,201
2024-09-30,225
2024-10-01,244
2024-10-02,226
2024-10-03,208
2024-10-04,197
2024-10-05,217
2024-10-06,232
2024-10-07,223
2024-10-08,180
2024-10-09,237
2024-10-10,258
2024-10-11,260
2024-10-12,274
2024-10-13,208
2024-10-14,200
2024-10-15,204
2024-10-16,224
2024-10-17,237
2024-10-18,173
2024-10-19,177
2024-10-20,201
2024-10-21,223
2024-10-22,159
2024-10-23,186
2024-10-24,251
2024-10-25,205
2024-10-26,186
2024-10-27,187
2024-10-28,191
2024-10-29,207
2024-10-30,133
2024-10-31,185
2024-11-01,193
2024-11-02,199
2024-11-03,144
2024-11-04,182
2024-11-05,192
2024-11-06,165
2024-11-07,145
2024-11-08,152
2024-11-09,175
2024-11-10,134
2024-11-11,196
2024-11-12,160
2024-11-13,182
2024-11-14,119
2024-11-15,192
2024-11-16,205
2024-11-17,151
2024-11-18,188
2024-11-19,184
2024-11-20,118
2024-11-21,140
2024-11-22,145
2024-11-23,120
2024-11-24,160
2024-11-25,170
2024-11-26,117
2024-11-27,206
2024-11-28,181
2024-11-29,172
2024-11-30,135
2024-12-01,155
2024-12-02,127
2024-12-03,132
2024-12-04,131
2024-12-05,183
2024-12-06,125
2024-12-07,129
2024-12-08,192
2024-12-09,155
2024-12-10,165
2024-12-11,151
2024-12-12,225
2024-12-13,129
2024-12-14,130
2024-12-15,169
2024-12-16,144
2024-12-17,163
2024-12-18,111
2024-12-19,164
2024-12-20,153
2024-12-21,117
2024-12-22,170
2024-12-23,106
2024-12-24,194
2024-12-25,157
2024-12-26,101
2024-12-27,160
2024-12-28,125
2024-12-29,183
2024-12-30,223
